id;name;family;phone_number;home_number;address
1;متعادل Account عملکرد;فلزی یکسان حل;سپرده توپ;نام کیبورد الجزایر;Bedfordshire PCI
2;bus اتومبیل;سنگاپور;شلوار;جمهوری آینده صورتی;Borders دو
3;کاربردی ادغام روشن;مبتنی سوم پس;صورتحساب;connect آینده;تحلیلی خدمتگزار
4;صابون مدیر synthesizing;کویت فرانک;تجربیات جذاب;solid چین انطباقی;لطیف multi-byte
5;کتان;indexing مدیرعامل ستارخان;خدمتگزار پرداخت;پاکستان یکپارچه معمولی;شده
6;XML;سوسیس اقبال;بتنی;عمودی;overriding ماداگاسکار driver
7;override Avon;connecting;indexing پس رویکرد;مسکن navigating;کاربردی آذربایجان Buckinghamshire
8;آینده;IB محدودیت خواربار;compressing استفاده digital;مسئول کارشناس;امارات
9;کردستان;navigating;فلزی;عالی;Bedfordshire
10;generate دینار;neural;parse digital GB;navigate فیلم;چالش
